Region,Provincia,Distrito,Ubigeo,Votosemitidos,Electores,N_Partidos,P_ausentismo,Año,Utilidad
AMAZONAS,BONGARA,FLORIDA,10306,2898.0,292.0,6.0,0.1033331482693596,2022,1357094.4799999986
AMAZONAS,BONGARA,FLORIDA,10306,2898.0,293.0,6.0,0.1033331482693596,2022,1357094.4799999986
AMAZONAS,UTCUBAMBA,CAJARURO,10702,11826.0,300.0,8.0,0.0703637599884358,2022,4708439.200000001
AMAZONAS,UTCUBAMBA,CAJARURO,10702,11826.0,291.0,8.0,0.0703637599884358,2022,4708439.200000001
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,292.0,6.0,0.1141415266287517,2022,-560661.0899999999
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,293.0,6.0,0.1141415266287517,2022,-560661.0899999999
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,288.0,6.0,0.1141415266287517,2022,-560661.0899999999
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,289.0,6.0,0.1141415266287517,2022,-560661.0899999999
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,300.0,6.0,0.1141415266287517,2022,-560661.0899999999
AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,3156.0,300.0,7.0,0.096880289979413,2022,176441.05999999866
AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,3156.0,288.0,7.0,0.096880289979413,2022,176441.05999999866
AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,3156.0,289.0,7.0,0.096880289979413,2022,176441.05999999866
AMAZONAS,UTCUBAMBA,JAMALCA,10705,3969.0,300.0,5.0,0.1412210399787332,2022,7480944.789999999
AMAZONAS,UTCUBAMBA,JAMALCA,10705,3969.0,274.0,5.0,0.1412210399787332,2022,7480944.789999999
AMAZONAS,UTCUBAMBA,JAMALCA,10705,3969.0,275.0,5.0,0.1412210399787332,2022,7480944.789999999
AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,4818.0,300.0,3.0,0.2171959373164299,2022,3050243.83
AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,4818.0,256.0,3.0,0.2171959373164299,2022,3050243.83
AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,4818.0,255.0,3.0,0.2171959373164299,2022,3050243.83
AMAZONAS,UTCUBAMBA,YAMON,10707,1949.0,300.0,6.0,0.1185755714980544,2022,640410.9200000004
AMAZONAS,UTCUBAMBA,YAMON,10707,1949.0,257.0,6.0,0.1185755714980544,2022,640410.9200000004
AMAZONAS,UTCUBAMBA,YAMON,10707,1949.0,256.0,6.0,0.1185755714980544,2022,640410.9200000004
ANCASH,HUARAZ,JANGAS,20106,3055.0,295.0,3.0,0.2401006964607626,2022,4411022.140000001
ANCASH,HUARAZ,JANGAS,20106,3055.0,296.0,3.0,0.2401006964607626,2022,4411022.140000001
ANCASH,HUARAZ,LA LIBERTAD,20107,968.0,264.0,7.0,0.1047619047619047,2022,-4405017.359999998
ANCASH,HUARAZ,OLLEROS,20108,1768.0,296.0,6.0,0.1097935898861824,2022,1544511.3899999997
ANCASH,HUARAZ,OLLEROS,20108,1768.0,297.0,6.0,0.1097935898861824,2022,1544511.3899999997
ANCASH,HUARAZ,OLLEROS,20108,1768.0,300.0,6.0,0.1097935898861824,2022,1544511.3899999997
ANCASH,HUARAZ,PAMPAS GRANDE,20109,680.0,264.0,5.0,0.1179616923956546,2022,211463.14000000156
ANCASH,HUARAZ,PAMPAS GRANDE,20109,680.0,265.0,5.0,0.1179616923956546,2022,211463.14000000156
ANCASH,HUARAZ,PARIACOTO,20110,2872.0,270.0,7.0,0.0987548508056009,2022,1640998.3200000003
ANCASH,HUARAZ,PARIACOTO,20110,2872.0,271.0,7.0,0.0987548508056009,2022,1640998.3200000003
ANCASH,HUARAZ,PARIACOTO,20110,2872.0,300.0,7.0,0.0987548508056009,2022,1640998.3200000003
ANCASH,HUARAZ,PIRA,20111,2666.0,264.0,6.0,0.1192591178846531,2022,807460.6500000004
ANCASH,HUARAZ,PIRA,20111,2666.0,265.0,6.0,0.1192591178846531,2022,807460.6500000004
ANCASH,HUARAZ,PIRA,20111,2666.0,248.0,6.0,0.1192591178846531,2022,807460.6500000004
ANCASH,HUARAZ,PIRA,20111,2666.0,249.0,6.0,0.1192591178846531,2022,807460.6500000004
ANCASH,HUARAZ,TARICA,20112,3428.0,289.0,6.0,0.1107611692225178,2022,5197962.570000002
ANCASH,HUARAZ,TARICA,20112,3428.0,287.0,6.0,0.1107611692225178,2022,5197962.570000002
ANCASH,HUARAZ,TARICA,20112,3428.0,288.0,6.0,0.1107611692225178,2022,5197962.570000002
ANCASH,HUARAZ,TARICA,20112,3428.0,300.0,6.0,0.1107611692225178,2022,5197962.570000002
APURIMAC,ABANCAY,HUANIPACA,30105,2279.0,300.0,6.0,0.1089599634846113,2022,-78715.57999999821
APURIMAC,ABANCAY,HUANIPACA,30105,2279.0,284.0,6.0,0.1089599634846113,2022,-78715.57999999821
APURIMAC,ABANCAY,LAMBRAMA,30106,2509.0,267.0,6.0,0.1078530703300538,2022,2590454.41
APURIMAC,ABANCAY,LAMBRAMA,30106,2509.0,268.0,6.0,0.1078530703300538,2022,2590454.41
APURIMAC,ABANCAY,LAMBRAMA,30106,2509.0,300.0,6.0,0.1078530703300538,2022,2590454.41
APURIMAC,ABANCAY,PICHIRHUA,30107,2299.0,274.0,6.0,0.1017914402208502,2022,74714.84999999963
APURIMAC,ABANCAY,PICHIRHUA,30107,2299.0,275.0,6.0,0.1017914402208502,2022,74714.84999999963
APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,30108,1651.0,300.0,6.0,0.1099703078606032,2022,-335895.0
APURIMAC,ABANCAY,SAN PEDRO DE CACHORA,30108,1651.0,237.0,6.0,0.1099703078606032,2022,-335895.0
APURIMAC,ABANCAY,TAMBURCO,30109,4925.0,300.0,7.0,0.099705840233996,2022,2451304.749999998
APURIMAC,ABANCAY,TAMBURCO,30109,4925.0,282.0,7.0,0.099705840233996,2022,2451304.749999998
APURIMAC,ABANCAY,TAMBURCO,30109,4925.0,283.0,7.0,0.099705840233996,2022,2451304.749999998
APURIMAC,COTABAMBAS,HAQUIRA,30504,4692.0,293.0,5.0,0.1196812933713039,2022,7857391.300000001
APURIMAC,COTABAMBAS,HAQUIRA,30504,4692.0,300.0,5.0,0.1196812933713039,2022,7857391.300000001
APURIMAC,COTABAMBAS,MARA,30505,3088.0,300.0,6.0,0.1164790514992075,2022,5238850.25
APURIMAC,COTABAMBAS,MARA,30505,3088.0,262.0,6.0,0.1164790514992075,2022,5238850.25
APURIMAC,COTABAMBAS,MARA,30505,3088.0,263.0,6.0,0.1164790514992075,2022,5238850.25
APURIMAC,COTABAMBAS,CHALLHUAHUACHO,30506,5624.0,300.0,3.0,0.2088639342120939,2022,34027865.49000001
APURIMAC,COTABAMBAS,CHALLHUAHUACHO,30506,5624.0,264.0,3.0,0.2088639342120939,2022,34027865.49000001
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,40129,44065.0,300.0,15.0,0.0446713710299954,2022,17445965.11
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,40129,44065.0,298.0,15.0,0.0446713710299954,2022,17445965.11
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,40129,44065.0,299.0,15.0,0.0446713710299954,2022,17445965.11
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,40129,44065.0,292.0,15.0,0.0446713710299954,2022,17445965.11
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,40129,44065.0,293.0,15.0,0.0446713710299954,2022,17445965.11
AREQUIPA,CONDESUYOS,ANDARAY,40602,418.0,201.0,5.0,0.1386401326699834,2022,3284956.22
AREQUIPA,CONDESUYOS,CAYARANI,40603,1436.0,266.0,4.0,0.1439072280449099,2022,4052523.0500000007
AREQUIPA,CONDESUYOS,CAYARANI,40603,1436.0,267.0,4.0,0.1439072280449099,2022,4052523.0500000007
AREQUIPA,CONDESUYOS,CHICHAS,40604,400.0,212.0,5.0,0.1257861635220125,2022,2057361.879999999
AREQUIPA,CONDESUYOS,IRAY,40605,486.0,228.0,6.0,0.1184210526315789,2022,3522251.309999999
AREQUIPA,ISLAY,COCACHACRA,40702,5729.0,294.0,8.0,0.0896412769105914,2022,18430274.43
AREQUIPA,ISLAY,COCACHACRA,40702,5729.0,300.0,8.0,0.0896412769105914,2022,18430274.43
AREQUIPA,ISLAY,COCACHACRA,40702,5729.0,293.0,8.0,0.0896412769105914,2022,18430274.43
AREQUIPA,ISLAY,COCACHACRA,40702,5729.0,285.0,8.0,0.0896412769105914,2022,18430274.43
AREQUIPA,ISLAY,COCACHACRA,40702,5729.0,286.0,8.0,0.0896412769105914,2022,18430274.43
AREQUIPA,ISLAY,DEAN VALDIVIA,40703,4231.0,300.0,7.0,0.1057539682539682,2022,8130049.960000003
AREQUIPA,ISLAY,DEAN VALDIVIA,40703,4231.0,252.0,7.0,0.1057539682539682,2022,8130049.960000003
AREQUIPA,ISLAY,ISLAY,40704,3017.0,300.0,9.0,0.0843618140792381,2022,16628090.810000002
AREQUIPA,ISLAY,ISLAY,40704,3017.0,267.0,9.0,0.0843618140792381,2022,16628090.810000002
AREQUIPA,ISLAY,ISLAY,40704,3017.0,268.0,9.0,0.0843618140792381,2022,16628090.810000002
AREQUIPA,ISLAY,MEJIA,40705,1005.0,266.0,4.0,0.1889097744360902,2022,4757254.85
AREQUIPA,ISLAY,PUNTA DE BOMBON,40706,4145.0,300.0,8.0,0.0880689393389469,2022,10474701.95
AREQUIPA,ISLAY,PUNTA DE BOMBON,40706,4145.0,287.0,8.0,0.0880689393389469,2022,10474701.95
AREQUIPA,ISLAY,PUNTA DE BOMBON,40706,4145.0,288.0,8.0,0.0880689393389469,2022,10474701.95
AREQUIPA,LA UNION,ALCA,40802,832.0,263.0,6.0,0.0877617269014607,2022,2564053.0200000005
AREQUIPA,LA UNION,ALCA,40802,832.0,264.0,6.0,0.0877617269014607,2022,2564053.0200000005
AREQUIPA,LA UNION,CHARCANA,40803,380.0,280.0,4.0,0.1693282918149466,2022,3218056.2299999986
AREQUIPA,LA UNION,CHARCANA,40803,380.0,281.0,4.0,0.1693282918149466,2022,3218056.2299999986
AREQUIPA,LA UNION,HUAYNACOTAS,40804,1036.0,267.0,5.0,0.1146435611660675,2022,8302444.21
AREQUIPA,LA UNION,HUAYNACOTAS,40804,1036.0,268.0,5.0,0.1146435611660675,2022,8302444.21
AREQUIPA,LA UNION,PAMPAMARCA,40805,778.0,289.0,6.0,0.1013690245963646,2022,1801088.8900000006
AREQUIPA,LA UNION,PAMPAMARCA,40805,778.0,213.0,6.0,0.1013690245963646,2022,1801088.8900000006
AREQUIPA,LA UNION,PAMPAMARCA,40805,778.0,214.0,6.0,0.1013690245963646,2022,1801088.8900000006
AREQUIPA,LA UNION,PUYCA,40806,743.0,285.0,4.0,0.0879550821985032,2022,4953830.5200000005
AREQUIPA,LA UNION,PUYCA,40806,743.0,286.0,4.0,0.0879550821985032,2022,4953830.5200000005
AREQUIPA,LA UNION,QUECHUALLA,40807,314.0,225.0,3.0,0.2320878400524418,2022,234586.91000000012
AREQUIPA,LA UNION,QUECHUALLA,40807,314.0,226.0,3.0,0.2320878400524418,2022,234586.91000000012
AREQUIPA,LA UNION,SAYLA,40808,220.0,183.0,4.0,0.1498760097410311,2022,2993533.850000001
AREQUIPA,LA UNION,SAYLA,40808,220.0,184.0,4.0,0.1498760097410311,2022,2993533.850000001
AREQUIPA,LA UNION,TAURIA,40809,180.0,271.0,3.0,0.2214022140221402,2022,-21276.189999999944
AREQUIPA,LA UNION,TOMEPAMPA,40810,348.0,204.0,2.0,0.284313725490196,2022,2992456.41
AREQUIPA,LA UNION,TORO,40811,330.0,284.0,5.0,0.1159945638744749,2022,3224928.92
AREQUIPA,LA UNION,TORO,40811,330.0,285.0,5.0,0.1159945638744749,2022,3224928.92
AYACUCHO,HUAMANGA,SOCOS,50112,4910.0,300.0,4.0,0.184726771785524,2022,-894864.3599999994
AYACUCHO,HUAMANGA,SOCOS,50112,4910.0,269.0,4.0,0.184726771785524,2022,-894864.3599999994
AYACUCHO,HUAMANGA,JESUS NAZARENO,50115,9328.0,300.0,5.0,0.1352456569086582,2022,317922.0800000001
AYACUCHO,HUAMANGA,JESUS NAZARENO,50115,9328.0,282.0,5.0,0.1352456569086582,2022,317922.0800000001
AYACUCHO,HUAMANGA,JESUS NAZARENO,50115,9328.0,283.0,5.0,0.1352456569086582,2022,317922.0800000001
AYACUCHO,HUAMANGA,JESUS NAZARENO,50115,9328.0,292.0,5.0,0.1352456569086582,2022,317922.0800000001
AYACUCHO,HUAMANGA,JESUS NAZARENO,50115,9328.0,293.0,5.0,0.1352456569086582,2022,317922.0800000001
CAJAMARCA,CAJAMARCA,ASUNCION,60102,4437.0,291.0,3.0,0.2006889036726281,2022,5069239.940000001
CAJAMARCA,CAJAMARCA,ASUNCION,60102,4437.0,292.0,3.0,0.2006889036726281,2022,5069239.940000001
CAJAMARCA,CAJAMARCA,ASUNCION,60102,4437.0,300.0,3.0,0.2006889036726281,2022,5069239.940000001
CAJAMARCA,CAJAMARCA,ENCAÑADA,60105,17187.0,295.0,7.0,0.1020375859593482,2022,13363797.170000002
CAJAMARCA,CAJAMARCA,ENCAÑADA,60105,17187.0,296.0,7.0,0.1020375859593482,2022,13363797.170000002
CAJAMARCA,CAJAMARCA,ENCAÑADA,60105,17187.0,300.0,7.0,0.1020375859593482,2022,13363797.170000002
CAJAMARCA,CAJAMARCA,ENCAÑADA,60105,17187.0,299.0,7.0,0.1020375859593482,2022,13363797.170000002
CAJAMARCA,CAJAMARCA,ENCAÑADA,60105,17187.0,258.0,7.0,0.1020375859593482,2022,13363797.170000002
CAJAMARCA,CAJAMARCA,ENCAÑADA,60105,17187.0,259.0,7.0,0.1020375859593482,2022,13363797.170000002
CAJAMARCA,CAJAMARCA,JESUS,60106,7935.0,300.0,8.0,0.0815041229792711,2022,4713850.369999997
CAJAMARCA,CAJAMARCA,JESUS,60106,7935.0,296.0,8.0,0.0815041229792711,2022,4713850.369999997
CAJAMARCA,CAJAMARCA,JESUS,60106,7935.0,297.0,8.0,0.0815041229792711,2022,4713850.369999997
CAJAMARCA,CAJAMARCA,JESUS,60106,7935.0,218.0,8.0,0.0815041229792711,2022,4713850.369999997
CAJAMARCA,CAJAMARCA,JESUS,60106,7935.0,217.0,8.0,0.0815041229792711,2022,4713850.369999997
CAJAMARCA,CAJAMARCA,MAGDALENA,60109,5366.0,300.0,3.0,0.2202286979931031,2022,2628584.1099999994
CAJAMARCA,CAJAMARCA,MAGDALENA,60109,5366.0,272.0,3.0,0.2202286979931031,2022,2628584.1099999994
CAJAMARCA,CAJAMARCA,MATARA,60110,2290.0,300.0,5.0,0.1286243130020369,2022,303957.73000000045
CAJAMARCA,CAJAMARCA,MATARA,60110,2290.0,294.0,5.0,0.1286243130020369,2022,303957.73000000045
CAJAMARCA,CAJAMARCA,MATARA,60110,2290.0,295.0,5.0,0.1286243130020369,2022,303957.73000000045
CAJAMARCA,CAJAMARCA,NAMORA,60111,5830.0,300.0,4.0,0.1767999797329664,2022,4710040.25
CAJAMARCA,CAJAMARCA,NAMORA,60111,5830.0,282.0,4.0,0.1767999797329664,2022,4710040.25
