Region,Provincia,Distrito,Ubigeo,Votosemitidos,N_Partidos,P_ausentismo,Año,Utilidad
AMAZONAS,LUYA,TRITA,10422,807.0,3.0,0.2606589147286822,2022,27023.990000000224
AMAZONAS,LUYA,PROVIDENCIA,10423,898.0,3.0,0.2451578008252481,2022,-62871.68000000017
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,10502,541.0,5.0,0.1574963609898107,2022,-105233.19999999995
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,10503,1273.0,7.0,0.0950675300367468,2022,-95988.50999999978
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,10504,1543.0,4.0,0.1624927484302484,2022,527445.4499999993
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,10505,984.0,4.0,0.1759690220174091,2022,452720.4299999997
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,10506,1122.0,3.0,0.2590029475842624,2022,-12893.819999999949
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,10508,1162.0,3.0,0.2390553847287155,2022,-28474.029999999795
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,10509,4128.0,5.0,0.115979875691155,2022,917338.1800000016
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,10510,438.0,3.0,0.2639978897434555,2022,270575.0700000003
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,10511,399.0,2.0,0.4226694915254237,2022,-1478426.75
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,10512,1404.0,3.0,0.2333846198851657,2022,2194142.4000000004
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,10602,6107.0,10.0,0.0584324748830008,2022,2273631.5500000007
AMAZONAS,CONDORCANQUI,EL CENEPA,10603,3588.0,8.0,0.0470182106573404,2022,1571675.7999999989
AMAZONAS,UTCUBAMBA,CAJARURO,10702,11826.0,8.0,0.0703637599884358,2022,4708439.200000001
AMAZONAS,UTCUBAMBA,CUMBA,10703,4718.0,6.0,0.1141415266287517,2022,-560661.0899999999
AMAZONAS,UTCUBAMBA,EL MILAGRO,10704,3156.0,7.0,0.096880289979413,2022,176441.05999999866
AMAZONAS,UTCUBAMBA,JAMALCA,10705,3969.0,5.0,0.1412210399787332,2022,7480944.789999999
AMAZONAS,UTCUBAMBA,LONYA GRANDE,10706,4818.0,3.0,0.2171959373164299,2022,3050243.83
AMAZONAS,UTCUBAMBA,YAMON,10707,1949.0,6.0,0.1185755714980544,2022,640410.9200000004
ANCASH,HUARAZ,INDEPENDENCIA,20102,31136.0,8.0,0.0745647391435488,2022,29219748.32
ANCASH,HUARAZ,COCHABAMBA,20103,1004.0,4.0,0.1580563893653516,2022,48604.73000000045
ANCASH,HUARAZ,COLCABAMBA,20104,127.0,1.0,0.4164731682146543,2022,285624.95999999903
ANCASH,HUARAZ,HUANCHAY,20105,1251.0,5.0,0.1392694801497554,2022,400622.2599999998
ANCASH,HUARAZ,JANGAS,20106,3055.0,3.0,0.2401006964607626,2022,4411022.140000001
ANCASH,HUARAZ,LA LIBERTAD,20107,968.0,7.0,0.1047619047619047,2022,-4405017.359999998
ANCASH,HUARAZ,OLLEROS,20108,1768.0,6.0,0.1097935898861824,2022,1544511.3899999997
ANCASH,HUARAZ,PAMPAS GRANDE,20109,680.0,5.0,0.1179616923956546,2022,211463.1400000016
ANCASH,HUARAZ,PARIACOTO,20110,2872.0,7.0,0.0987548508056009,2022,1640998.3200000003
ANCASH,HUARAZ,PIRA,20111,2666.0,6.0,0.1192591178846531,2022,807460.6500000004
ANCASH,HUARAZ,TARICA,20112,3428.0,6.0,0.1107611692225178,2022,5197962.570000002
ANCASH,AIJA,CORIS,20203,1013.0,5.0,0.1358820228502166,2022,2139892.160000001
ANCASH,AIJA,HUACLLAN,20205,381.0,3.0,0.2822222222222222,2022,406758.5500000003
ANCASH,AIJA,LA MERCED,20206,1406.0,4.0,0.1892598556474984,2022,958590.5700000004
ANCASH,AIJA,SUCCHA,20208,574.0,4.0,0.1893011376707029,2022,825874.6100000003
ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,20302,174.0,3.0,0.2274509803921568,2022,427455.19000000006
ANCASH,BOLOGNESI,AQUIA,20304,822.0,3.0,0.155328798185941,2022,1174377.37
ANCASH,BOLOGNESI,CAJACAY,20305,1032.0,4.0,0.1690764757346508,2022,1110988.22
ANCASH,BOLOGNESI,HUAYLLACAYAN,20310,655.0,4.0,0.1623973403016404,2022,635722.7000000002
ANCASH,BOLOGNESI,HUASTA,20311,1015.0,3.0,0.2228812342467249,2022,636359.2399999984
ANCASH,BOLOGNESI,MANGAS,20313,393.0,2.0,0.3515200972862263,2022,699246.3300000001
ANCASH,BOLOGNESI,PACLLON,20315,671.0,2.0,0.3371801722983735,2022,2150675.96
ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,20317,301.0,3.0,0.2778954368733374,2022,723192.6699999999
ANCASH,BOLOGNESI,TICLLOS,20320,419.0,3.0,0.2559719262372173,2022,349858.3700000006
ANCASH,BOLOGNESI,ANTONIO RAYMONDI,20321,839.0,3.0,0.2316907284843912,2022,438794.46
ANCASH,BOLOGNESI,CANIS,20322,172.0,3.0,0.1408609420779806,2022,379151.5
ANCASH,BOLOGNESI,COLQUIOC,20323,1273.0,4.0,0.1877606160820342,2022,1187456.4900000012
ANCASH,BOLOGNESI,LA PRIMAVERA,20324,184.0,1.0,0.5287356321839081,2022,2926863.9300000006
ANCASH,BOLOGNESI,HUALLANCA,20325,3172.0,4.0,0.1652423007246377,2022,2145747.87
ANCASH,CARHUAZ,ACOPAMPA,20402,1506.0,5.0,0.1457311114249399,2022,565405.2600000007
ANCASH,CARHUAZ,AMASHCA,20403,1239.0,3.0,0.2546201387939805,2022,1143082.2299999995
ANCASH,CARHUAZ,ANTA,20404,1629.0,5.0,0.1510376712328767,2022,268943.2799999998
ANCASH,CARHUAZ,ATAQUERO,20405,1173.0,5.0,0.1490508809102255,2022,244370.29000000004
ANCASH,CARHUAZ,MARCARA,20406,5631.0,7.0,0.099929579797443,2022,5453933.699999999
ANCASH,CARHUAZ,PARIAHUANCA,20407,977.0,6.0,0.1295447838276523,2022,264183.5800000003
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,20408,1607.0,6.0,0.1233237973766388,2022,649459.0300000003
ANCASH,CARHUAZ,SHILLA,20409,2058.0,6.0,0.1093740844169682,2022,921571.4900000002
ANCASH,CARHUAZ,TINCO,20410,1917.0,7.0,0.1038672828146512,2022,1838048.99
ANCASH,CARHUAZ,YUNGAR,20411,2211.0,4.0,0.2020083483724992,2022,1208820.7600000007
ANCASH,CASMA,BUENA VISTA ALTA,20502,2935.0,5.0,0.1543875895949391,2022,2527675.369999999
ANCASH,CASMA,COMANDANTE NOEL,20503,1683.0,9.0,0.0877862627854917,2022,1190400.6099999994
ANCASH,CASMA,YAUTAN,20505,4558.0,8.0,0.0895443041109622,2022,4678961.379999999
ANCASH,CORONGO,ACO,20602,48.0,1.0,0.1267195767195767,2022,-60493.43999999971
ANCASH,CORONGO,BAMBAS,20603,298.0,3.0,0.2416962664772279,2022,746678.1900000002
ANCASH,CORONGO,CUSCA,20604,1698.0,3.0,0.2560584235428524,2022,3253192.0
ANCASH,CORONGO,LA PAMPA,20605,501.0,3.0,0.1869954830432086,2022,614255.6499999994
ANCASH,CORONGO,YANAC,20606,442.0,2.0,0.3485871411964589,2022,155606.15999999968
ANCASH,CORONGO,YUPAN,20607,140.0,1.0,0.4388364779874214,2022,176151.27000000002
ANCASH,HUAYLAS,HUALLANCA,20702,780.0,5.0,0.15234375,2022,-1969098.6100000003
ANCASH,HUAYLAS,HUATA,20703,856.0,4.0,0.171269406392694,2022,35994.609999999404
ANCASH,HUAYLAS,HUAYLAS,20704,807.0,3.0,0.1831239890723069,2022,877315.54
ANCASH,HUAYLAS,MATO,20705,1212.0,5.0,0.1382794115355245,2022,354625.5899999989
ANCASH,HUAYLAS,PAMPAROMAS,20706,4299.0,7.0,0.0964682828962292,2022,4732318.309999997
ANCASH,HUAYLAS,PUEBLO LIBRE,20707,4393.0,6.0,0.1160820892479042,2022,5032991.829999998
ANCASH,HUAYLAS,SANTA CRUZ,20708,2773.0,6.0,0.1097947727947727,2022,1756183.0300000012
ANCASH,HUAYLAS,YURACMARCA,20709,1506.0,4.0,0.1892580064548162,2022,13307566.239999998
ANCASH,HUAYLAS,SANTO TORIBIO,20710,619.0,4.0,0.1606954529737206,2022,1046942.5900000004
ANCASH,HUARI,CAJAY,20802,2578.0,4.0,0.1820310808266252,2022,18525143.090000004
ANCASH,HUARI,CHAVIN DE HUANTAR,20803,4610.0,6.0,0.1128793300452645,2022,54854357.27
ANCASH,HUARI,HUACACHI,20804,1917.0,5.0,0.150530035335689,2022,18716898.82
ANCASH,HUARI,HUACHIS,20805,3382.0,4.0,0.1841221362728945,2022,18537082.17
ANCASH,HUARI,HUACCHIS,20806,1736.0,3.0,0.2489616064371613,2022,1878968.2300000004
ANCASH,HUARI,HUANTAR,20807,1814.0,3.0,0.2294977807612763,2022,3483566.370000005
ANCASH,HUARI,MASIN,20808,1197.0,4.0,0.175543113043113,2022,5770155.319999997
ANCASH,HUARI,PAUCAS,20809,1494.0,7.0,0.1077973702389733,2022,4462622.42
